Number,Name,Infections,Channel,CF,I start,I end,Size
39,g4g_00040.wav,1,1,0.9803853611729993,1,17,379904
101,g4g_00102.wav,1,2,0.624794540738986,4,20,343392
83,g4g_00084.wav,1,0,1.3349300511824898,8,24,341510
125,g4g_00126.wav,1,2,0.8446417738725108,7,25,375379
141,g4g_00142.wav,1,3,1.107292636083821,11,27,332102
71,g4g_00072.wav,1,2,0.9107312015195558,14,30,350918
207,g4g_00208.wav,1,1,1.2046518927535923,13,32,399840
51,g4g_00052.wav,1,0,0.7646195605888324,16,32,350918
226,g4g_00227.wav,1,1,1.0241306721731682,17,34,359386
65,g4g_00066.wav,1,3,0.882745052646914,15,34,403603
67,g4g_00068.wav,1,3,1.0078363073995313,13,34,449702
25,g4g_00026.wav,1,0,0.9818360533899794,15,35,438016
174,g4g_00175.wav,1,2,0.91280300517418,19,36,357504
33,g4g_00034.wav,1,0,1.2013874081526552,18,36,379648
209,g4g_00210.wav,1,2,0.6619576914919411,21,36,317990
6,g4g_00007.wav,1,0,1.07423190716875,21,37,352800
222,g4g_00223.wav,1,2,1.2805707230706749,21,38,364090
15,g4g_00016.wav,1,3,0.9713710211485607,20,38,393254
206,g4g_00207.wav,1,3,0.6488501745270716,20,39,399840
120,g4g_00121.wav,1,1,0.9415168765252473,22,39,368640
181,g4g_00182.wav,1,2,1.0008761636424701,20,40,419597
219,g4g_00220.wav,1,3,0.8203169721820046,25,40,314227
62,g4g_00063.wav,1,3,0.8097497217363223,18,40,469459
152,g4g_00153.wav,1,2,0.9228728451669108,25,41,331162
197,g4g_00198.wav,1,3,1.355635901458503,25,41,348096
45,g4g_00046.wav,1,1,1.2378293115656724,25,42,355840
150,g4g_00151.wav,1,3,0.8835351989511853,27,43,331162
48,g4g_00049.wav,1,3,0.8936998137471499,24,44,434432
34,g4g_00035.wav,1,3,0.8041178159939087,28,44,352800
180,g4g_00181.wav,1,0,0.7466180565296303,25,45,419597
129,g4g_00130.wav,1,1,0.5286197855779204,25,45,431827
4,g4g_00005.wav,1,2,1.0314613688396959,24,45,455347
179,g4g_00180.wav,1,2,1.1712817304325014,29,46,356563
57,g4g_00058.wav,1,3,0.9253930608121539,31,46,316109
228,g4g_00229.wav,1,2,1.2244058970430076,28,46,384787
74,g4g_00075.wav,1,3,1.0376615761383632,28,46,391373
24,g4g_00025.wav,1,3,1.038281580166073,26,46,438016
148,g4g_00149.wav,1,0,0.8517679048806168,26,46,439354
90,g4g_00091.wav,1,0,1.3971933858750722,26,46,440294
108,g4g_00109.wav,1,0,0.9738589610511875,27,47,422419
185,g4g_00186.wav,1,1,0.7782613805298995,30,47,357504
121,g4g_00122.wav,1,0,1.0714424429615648,30,47,368640
166,g4g_00167.wav,1,1,0.7367023876225081,32,48,332102
44,g4g_00045.wav,1,1,0.9107816425649581,31,48,355840
186,g4g_00187.wav,1,0,1.1088016014063866,31,48,357504
46,g4g_00047.wav,1,1,0.9416708896206097,29,48,402662
56,g4g_00057.wav,1,0,0.7723496805002747,33,48,316109
92,g4g_00093.wav,1,2,0.8849382792211352,28,48,440294
205,g4g_00206.wav,1,0,0.8117807157983468,32,48,352800
227,g4g_00228.wav,1,1,0.8791214906525706,32,49,359386
173,g4g_00174.wav,1,3,1.2429116122505306,29,49,439354
145,g4g_00146.wav,1,3,0.9674924050301268,34,50,332102
198,g4g_00199.wav,1,1,1.1319243371436396,30,50,428299
81,g4g_00082.wav,1,2,1.136833576179694,34,50,341510
149,g4g_00150.wav,1,0,1.2714368873090143,30,50,439354
133,g4g_00134.wav,1,2,0.7186581234624078,35,51,332102
167,g4g_00168.wav,1,1,1.0748882428961681,35,51,332102
213,g4g_00214.wav,1,1,0.9607548947705005,30,51,444058
187,g4g_00188.wav,1,2,1.2577677038588762,34,51,357504
11,g4g_00012.wav,1,1,1.1444123233724126,34,51,373498
193,g4g_00194.wav,1,0,1.0355911349838478,36,52,344333
21,g4g_00022.wav,1,0,0.7677339648243346,36,52,345856
42,g4g_00043.wav,1,3,1.1565702560235191,36,53,365056
3,g4g_00004.wav,1,0,1.1507155813519492,33,53,431827
140,g4g_00141.wav,1,1,1.3183355936573822,38,54,332102
142,g4g_00143.wav,1,1,0.7230089329652686,38,54,332102
216,g4g_00217.wav,1,1,1.2012079491677234,39,54,312346
211,g4g_00212.wav,1,0,1.4758082386114175,38,54,342451
30,g4g_00031.wav,1,3,1.1901404311300448,33,54,457472
159,g4g_00160.wav,1,1,1.170308276546554,34,54,438413
103,g4g_00104.wav,1,3,0.8643221543562716,34,55,441235
164,g4g_00165.wav,1,2,0.7842238337039799,39,55,332102
217,g4g_00218.wav,1,2,1.202447582466331,40,55,312346
178,g4g_00179.wav,1,0,1.3759645002000989,38,55,356563
26,g4g_00027.wav,1,0,1.093439623470465,39,55,336384
214,g4g_00215.wav,1,2,0.7471532539484624,39,55,348096
84,g4g_00085.wav,1,2,0.9746027619394271,35,55,440294
191,g4g_00192.wav,1,0,1.0038253277642772,40,56,348096
9,g4g_00010.wav,1,0,0.8723432219297069,39,56,374438
122,g4g_00123.wav,1,2,1.2984730920301604,39,57,375379
170,g4g_00171.wav,1,3,0.7560320281550198,40,57,355622
53,g4g_00054.wav,1,1,0.9917201298820553,42,57,315168
105,g4g_00106.wav,1,3,1.0864278171025372,38,57,414893
144,g4g_00145.wav,1,1,0.8724372404547922,42,58,332102
147,g4g_00148.wav,1,0,1.1645964037016763,42,58,332102
161,g4g_00162.wav,1,3,0.9043223787813868,36,58,466637
98,g4g_00099.wav,1,3,0.7550290337718997,43,58,315168
229,g4g_00230.wav,1,3,1.375417383634114,40,58,384787
22,g4g_00023.wav,1,2,0.7603236798138295,37,58,455936
189,g4g_00190.wav,1,3,1.123829698364414,42,58,346214
73,g4g_00074.wav,1,0,0.6424610516841458,40,58,395136
86,g4g_00087.wav,1,1,0.9343668476445983,38,58,440294
107,g4g_00108.wav,1,3,0.8283041489270921,40,59,397958
146,g4g_00147.wav,1,2,0.7828462020065033,43,59,332102
220,g4g_00221.wav,1,1,1.1404064598807713,42,59,364090
19,g4g_00020.wav,1,0,0.8248750335387804,37,59,476045
157,g4g_00158.wav,1,3,0.917747559877845,43,59,346214
31,g4g_00032.wav,1,1,1.068288007182027,38,59,457472
172,g4g_00173.wav,1,3,1.195836959799895,39,59,439354
106,g4g_00107.wav,1,0,1.1938431224763129,41,60,397958
154,g4g_00155.wav,1,3,0.7579320861081439,44,60,332102
32,g4g_00033.wav,1,1,0.9780871445524844,42,60,379648
223,g4g_00224.wav,1,3,1.0324434225402976,43,60,364090
100,g4g_00101.wav,1,2,0.662573903922688,44,60,343392
8,g4g_00009.wav,1,2,0.8855957585375354,43,60,374438
75,g4g_00076.wav,1,0,1.2806681105263882,43,61,391373
76,g4g_00077.wav,1,3,1.0151022582599085,46,61,326458
72,g4g_00073.wav,1,1,0.9894636124417797,43,61,395136
139,g4g_00140.wav,1,2,0.9697002367588861,46,62,332102
210,g4g_00211.wav,1,0,0.7063873881664176,46,62,342451
190,g4g_00191.wav,1,0,1.0889098286611025,46,62,348096
118,g4g_00119.wav,1,2,1.3819519380233303,48,62,306176
61,g4g_00062.wav,1,0,1.1613117243990827,48,63,314227
27,g4g_00028.wav,1,1,0.7036187453083651,47,63,336384
43,g4g_00044.wav,1,2,1.0793209135432056,46,63,365056
131,g4g_00132.wav,1,2,1.0399215005811837,43,63,431827
20,g4g_00021.wav,1,0,1.0776270633542633,47,63,345856
158,g4g_00159.wav,1,1,1.1609026546587797,43,63,438413
36,g4g_00037.wav,1,3,0.6763253404112438,47,63,352800
162,g4g_00163.wav,1,0,0.8863066858295623,42,64,465696
52,g4g_00053.wav,1,0,0.9844995163520335,49,64,315168
225,g4g_00226.wav,1,0,0.8080089315194847,47,64,365030
14,g4g_00015.wav,1,2,1.1165646154102067,46,64,393254
126,g4g_00127.wav,1,2,0.9518528417082419,47,65,375379
58,g4g_00059.wav,1,0,1.1351150004548058,50,65,316109
70,g4g_00071.wav,1,2,0.8394010413975677,49,65,350918
116,g4g_00117.wav,1,3,0.807580529846629,51,66,317440
208,g4g_00209.wav,1,1,0.593506026209856,51,66,317990
18,g4g_00019.wav,1,2,0.7827942860541712,44,66,476045
192,g4g_00193.wav,1,0,0.7043893969130279,50,66,344333
132,g4g_00133.wav,1,2,0.9788783486863821,51,67,332102
137,g4g_00138.wav,1,0,0.7409162965237142,51,67,332102
171,g4g_00172.wav,1,3,1.240886923867896,50,67,355622
54,g4g_00055.wav,1,2,0.7348854733901204,52,67,316109
59,g4g_00060.wav,1,0,0.7796821305027344,52,67,316109
204,g4g_00205.wav,1,0,0.655525891694611,51,67,352800
28,g4g_00029.wav,1,1,1.0545600323810247,49,68,397056
102,g4g_00103.wav,1,3,0.8770644790024771,47,68,441235
135,g4g_00136.wav,1,0,0.9005478378889502,52,68,331162
