Day,Total infected,Infected,Infected in 0,Infected in 1,Infected in 2,Infected in 3,Infected ratio
0,0,0,0,0,0,0,0.0
1,2,2,0,0,0,2,0.008583690987124463
2,2,2,0,0,0,2,0.008583690987124463
3,2,2,0,0,0,2,0.008583690987124463
4,2,2,0,0,0,2,0.008583690987124463
5,3,3,1,0,0,2,0.012875536480686695
6,3,3,1,0,0,2,0.012875536480686695
7,3,3,1,0,0,2,0.012875536480686695
8,3,3,1,0,0,2,0.012875536480686695
9,3,3,1,0,0,2,0.012875536480686695
10,3,3,1,0,0,2,0.012875536480686695
11,3,3,1,0,0,2,0.012875536480686695
12,3,3,1,0,0,2,0.012875536480686695
13,5,5,1,0,2,2,0.02145922746781116
14,6,6,1,0,2,3,0.02575107296137339
15,6,6,1,0,2,3,0.02575107296137339
16,9,8,2,0,4,2,0.034334763948497854
17,12,11,3,0,5,3,0.04721030042918455
18,15,14,4,1,5,4,0.060085836909871244
19,19,18,5,3,5,5,0.07725321888412018
20,22,20,6,3,6,5,0.08583690987124463
21,26,23,6,4,8,5,0.09871244635193133
22,30,27,6,5,9,7,0.11587982832618025
23,35,32,7,7,9,9,0.13733905579399142
24,40,37,8,9,11,9,0.15879828326180256
25,46,43,9,11,13,10,0.18454935622317598
26,56,53,12,12,14,15,0.22746781115879827
27,63,60,13,16,15,16,0.2575107296137339
28,69,66,13,18,18,17,0.2832618025751073
29,78,74,17,18,20,19,0.31759656652360513
30,88,84,21,19,21,23,0.3605150214592275
31,91,86,22,20,22,22,0.36909871244635195
32,100,93,25,21,22,25,0.39914163090128757
33,103,92,26,22,19,25,0.3948497854077253
34,113,102,28,27,22,25,0.43776824034334766
35,121,109,31,28,24,26,0.4678111587982833
36,131,119,34,32,25,28,0.5107296137339056
37,140,121,33,29,28,31,0.51931330472103
38,145,122,35,31,28,28,0.5236051502145923
39,152,126,33,30,33,30,0.5407725321888412
40,153,122,33,29,32,28,0.5236051502145923
41,158,120,32,30,30,28,0.5150214592274678
42,165,117,30,29,29,29,0.5021459227467812
43,169,119,31,29,29,30,0.5107296137339056
44,174,120,34,27,29,30,0.5150214592274678
45,178,113,33,26,27,27,0.48497854077253216
46,183,112,32,26,27,27,0.48068669527896996
47,188,111,29,27,30,25,0.47639484978540775
48,191,106,27,26,29,24,0.45493562231759654
49,194,100,24,25,28,23,0.4291845493562232
50,196,95,20,25,27,23,0.40772532188841204
51,198,89,19,22,25,23,0.38197424892703863
52,202,82,15,21,22,24,0.351931330472103
53,205,78,16,20,20,22,0.33476394849785407
54,205,74,15,19,19,21,0.31759656652360513
55,205,69,14,16,18,21,0.296137339055794
56,206,63,12,15,16,20,0.2703862660944206
57,206,54,11,13,13,17,0.2317596566523605
58,207,49,8,14,12,15,0.21030042918454936
59,207,42,6,11,11,14,0.18025751072961374
60,207,38,5,10,11,12,0.1630901287553648
61,210,38,6,10,10,12,0.1630901287553648
62,210,36,6,10,10,10,0.15450643776824036
63,210,31,6,10,7,8,0.13304721030042918
64,211,25,6,9,3,7,0.1072961373390558
65,211,24,6,8,3,7,0.10300429184549356
66,211,21,6,6,3,6,0.09012875536480687
67,211,17,6,5,3,3,0.07296137339055794
68,211,13,4,5,2,2,0.055793991416309016
69,211,12,3,5,2,2,0.05150214592274678
70,211,11,3,4,2,2,0.04721030042918455
71,211,9,3,3,1,2,0.03862660944206009
72,211,8,3,2,1,2,0.034334763948497854
73,212,6,2,2,0,2,0.02575107296137339
74,212,6,2,2,0,2,0.02575107296137339
75,212,5,2,2,0,1,0.02145922746781116
76,212,5,2,2,0,1,0.02145922746781116
77,212,5,2,2,0,1,0.02145922746781116
78,212,5,2,2,0,1,0.02145922746781116
79,212,5,2,2,0,1,0.02145922746781116
80,212,5,2,2,0,1,0.02145922746781116
81,212,2,1,1,0,0,0.008583690987124463
82,212,1,0,1,0,0,0.004291845493562232
83,212,1,0,1,0,0,0.004291845493562232
84,212,1,0,1,0,0,0.004291845493562232
85,212,1,0,1,0,0,0.004291845493562232
86,212,1,0,1,0,0,0.004291845493562232
87,212,1,0,1,0,0,0.004291845493562232
88,212,0,0,0,0,0,0.0
89,212,0,0,0,0,0,0.0
