Day,Total infected,Infected,Infected in 0,Infected in 1,Infected in 2,Infected in 3,Infected ratio
0,0,0,0,0,0,0,0.0
1,1,1,1,0,0,0,0.004291845493562232
2,2,2,2,0,0,0,0.008583690987124463
3,2,2,2,0,0,0,0.008583690987124463
4,2,2,2,0,0,0,0.008583690987124463
5,2,2,2,0,0,0,0.008583690987124463
6,3,3,2,0,0,1,0.012875536480686695
7,3,3,2,0,0,1,0.012875536480686695
8,3,3,2,0,0,1,0.012875536480686695
9,4,4,3,0,0,1,0.017167381974248927
10,4,4,3,0,0,1,0.017167381974248927
11,4,4,3,0,0,1,0.017167381974248927
12,5,5,3,1,0,1,0.02145922746781116
13,7,7,4,1,1,1,0.030042918454935622
14,7,7,4,1,1,1,0.030042918454935622
15,9,9,4,1,2,2,0.03862660944206009
16,10,10,4,1,3,2,0.04291845493562232
17,12,12,6,1,3,2,0.05150214592274678
18,13,12,5,1,4,2,0.05150214592274678
19,14,13,6,1,4,2,0.055793991416309016
20,17,16,7,2,4,3,0.06866952789699571
21,19,17,6,3,5,3,0.07296137339055794
22,21,19,7,3,6,3,0.0815450643776824
23,24,22,8,4,7,3,0.0944206008583691
24,27,25,8,5,9,3,0.1072961373390558
25,28,25,9,5,9,2,0.1072961373390558
26,28,24,8,5,9,2,0.10300429184549356
27,29,25,8,5,10,2,0.1072961373390558
28,30,26,9,5,10,2,0.11158798283261803
29,31,27,10,5,10,2,0.11587982832618025
30,35,30,10,6,12,2,0.12875536480686695
31,37,31,10,6,12,3,0.13304721030042918
32,39,31,11,5,12,3,0.13304721030042918
33,40,30,11,5,12,2,0.12875536480686695
34,44,32,11,6,12,3,0.13733905579399142
35,44,30,10,6,12,2,0.12875536480686695
36,47,33,10,8,12,3,0.14163090128755365
37,47,32,10,8,11,3,0.13733905579399142
38,50,32,10,7,10,5,0.13733905579399142
39,52,31,10,6,9,6,0.13304721030042918
40,54,31,9,5,10,7,0.13304721030042918
41,54,31,9,5,10,7,0.13304721030042918
42,56,31,7,6,10,8,0.13304721030042918
43,56,31,7,6,10,8,0.13304721030042918
44,59,33,9,7,9,8,0.14163090128755365
45,64,35,10,6,8,11,0.15021459227467812
46,68,38,12,7,8,11,0.1630901287553648
47,70,40,12,7,9,12,0.17167381974248927
48,73,42,12,8,9,13,0.18025751072961374
